params,final_capital,total_return,total_return_pct,num_trades,win_rate,max_drawdown,improvement_vs_baseline,status
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",23301.197500000002,-26698.802499999998,-53.39760499999999,89,2.247191011235955,64.498205,-86723.08249999999,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.5}",15080.162199999962,-34919.83780000004,-69.83967560000008,106,1.8867924528301887,78.72015560000007,-94944.11780000004,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",20395.64289999999,-29604.35710000001,-59.20871420000001,92,2.1739130434782608,69.73297080000003,-89628.6371,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 2.0}",22729.28039999998,-27270.71960000002,-54.54143920000004,90,2.2222222222222223,65.36011920000003,-87294.99960000001,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.5}",15460.764299999984,-34539.23570000002,-69.07847140000004,105,1.9047619047619049,78.17039140000003,-94563.51570000002,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",21053.565499999993,-28946.434500000007,-57.89286900000001,90,2.2222222222222223,69.75632420000004,-88970.7145,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 20, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 2.0}",23108.485100000005,-26891.514899999995,-53.783029799999994,88,2.272727272727273,64.86691760000001,-86915.7949,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.5}",12588.139800000003,-37411.860199999996,-74.8237204,106,1.8867924528301887,81.71886860000001,-97436.1402,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",19753.160399999997,-30246.839600000003,-60.4936792,99,2.0202020202020203,69.76197980000003,-90271.1196,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",25466.990900000023,-24533.009099999977,-49.06601819999995,92,2.1739130434782608,60.24146979999998,-84557.28909999998,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.5}",12290.923599999995,-37709.076400000005,-75.41815280000002,106,1.8867924528301887,81.9631528,-97733.3564,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",19614.42869999999,-30385.57130000001,-60.77114260000002,98,2.0408163265306123,70.30444580000005,-90409.85130000001,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 2.0}",25943.172400000018,-24056.827599999982,-48.11365519999997,91,2.197802197802198,60.084443799999974,-84081.10759999999,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.5}",12346.702699999996,-37653.297300000006,-75.30659460000001,108,1.8518518518518516,81.9667872,-97677.5773,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",19911.247500000012,-30088.752499999988,-60.177504999999975,97,2.0618556701030926,70.3549302,-90113.03249999999,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 25, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 2.0}",26047.270800000028,-23952.729199999972,-47.905458399999944,90,2.2222222222222223,60.35610499999995,-83977.00919999997,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.5}",12399.389199999998,-37600.6108,-75.2012216,99,2.0202020202020203,81.6039816,-97624.8908,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",16072.350599999994,-33927.64940000001,-67.85529880000001,96,2.083333333333333,75.28030480000001,-93951.92940000001,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 2.0}",22160.5135,-27839.4865,-55.678973,85,2.3529411764705883,64.860953,-87863.7665,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.5}",11566.018099999994,-38433.981900000006,-76.86796380000001,103,1.9417475728155338,82.84856380000002,-98458.26190000001,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 1.8}",15895.716199999995,-34104.283800000005,-68.20856760000001,96,2.083333333333333,75.35010760000002,-94128.5638,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.0, 'atr_stop_multiplier': 2.0}",22081.690499999997,-27918.309500000003,-55.83661900000001,86,2.3255813953488373,64.98341900000001,-87942.5895,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.5}",11319.877799999993,-38680.122200000005,-77.36024440000001,105,1.9047619047619049,83.20012440000002,-98704.40220000001,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 1.8}",16171.591999999993,-33828.40800000001,-67.65681600000002,95,2.1052631578947367,75.19450180000003,-93852.68800000001,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.01, 'adx_threshold': 30, 'volume_ratio_threshold': 1.1, 'atr_stop_multiplier': 2.0}",21995.911799999998,-28004.088200000002,-56.00817640000001,85,2.3529411764705883,65.11979640000001,-88028.3682,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.5}",5824.384799999989,-44175.615200000015,-88.35123040000002,106,1.8867924528301887,92.82671040000002,-104199.89520000001,success
"{'supertrend_period': 7, 'supertrend_multiplier': 2.5, 'risk_per_trade': 0.015, 'adx_threshold': 20, 'volume_ratio_threshold': 0.9, 'atr_stop_multiplier': 1.8}",11001.141199999975,-38998.85880000002,-77.99771760000004,91,2.197802197802198,85.53907760000004,-99023.13880000002,success
